,Number of Chapters,Downloads per Month,Open Access
0,7,26.17948717948718,False
1,6,23.333333333333332,False
2,14,55.72093023255814,False
3,7,25.31578947368421,False
4,10,27.307692307692307,False
5,8,55.48888888888889,False
6,12,373.48571428571427,False
7,7,17.763157894736842,False
8,8,117.30952380952381,False
9,8,60.90909090909091,False
10,8,27.692307692307693,False
11,8,148.54285714285714,False
12,13,16.724137931034484,False
13,9,50.76923076923077,False
14,8,18.55263157894737,False
15,8,17.575757575757574,False
16,9,21.72,False
17,7,20.0,False
18,5,34.073170731707314,False
19,8,17.533333333333335,False
20,6,51.142857142857146,False
21,7,47.83870967741935,False
22,11,54.90909090909091,False
23,8,25.77777777777778,False
24,9,14.0,False
25,8,184.0909090909091,False
26,12,266.4130434782609,False
27,10,28.384615384615383,False
28,19,56.69767441860465,False
29,13,63.69767441860465,False
30,8,42.68292682926829,False
31,8,128.0222222222222,False
32,8,25.3,False
33,11,18.454545454545453,False
34,10,32.94736842105263,False
35,6,59.65714285714286,False
36,16,28.703703703703702,False
37,13,88.74193548387096,False
38,12,92.94444444444444,False
39,11,22.97222222222222,False
40,8,14.88888888888889,False
41,9,20.727272727272727,False
42,9,31.97222222222222,False
43,8,59.84,False
44,7,19.157894736842106,False
45,7,14.06060606060606,False
46,11,62.21052631578947,False
47,9,21.194444444444443,False
48,9,144.76315789473685,False
49,12,119.7741935483871,False
50,11,33.486486486486484,False
51,10,17.6875,False
52,6,13.413793103448276,False
53,10,31.791666666666668,False
54,20,169.0,False
55,8,31.476190476190474,False
56,17,41.351351351351354,False
57,6,61.17391304347826,False
58,10,24.058823529411764,False
59,10,82.0,False
60,7,205.2,False
61,9,73.6774193548387,False
62,7,21.4,False
63,9,23.844444444444445,False
64,8,43.4390243902439,False
65,7,20.055555555555557,False
66,9,16.419354838709676,False
67,9,17.94736842105263,False
68,7,16.387096774193548,False
69,12,51.5609756097561,False
70,12,66.25,False
71,7,14.724137931034482,False
72,10,80.6304347826087,False
73,11,20.20689655172414,False
74,13,25.58823529411765,False
75,12,116.33333333333333,False
76,8,17.342105263157894,False
77,6,19.71794871794872,False
78,18,87.46511627906976,False
79,8,24.75,False
80,10,46.357142857142854,False
81,7,15.472222222222221,False
82,8,27.0,False
83,7,22.52777777777778,False
84,9,34.31818181818182,False
85,10,111.10526315789474,False
86,14,22.607142857142858,False
87,13,73.0,False
88,7,17.714285714285715,False
89,14,28.37837837837838,False
90,9,12.043478260869565,False
91,7,41.2,False
92,13,128.6304347826087,False
93,5,10.08695652173913,False
94,8,30.066666666666666,False
95,15,110.45652173913044,False
96,9,50.71111111111111,False
97,8,30.394736842105264,False
98,7,18.86842105263158,False
99,7,15.15625,False
100,10,570.8536585365854,False
